source_id,source_type,source_path_or_url,audit_status,current_title,meta_description,chapter,content_kind,reuse_action,duplicate_group,split_recommendation,recommended_lesson_title,recommended_featured_image,tags,search_keywords,related_lessons,notes
https-www-childactor101-com-101-blog-actors-say-something-underneath-their-auditions,blog_article,https://www.childactor101.com/101-blog/actors-say-something-underneath-their-auditions,audited_from_live_site,Actors Say Something Underneath Their Auditions,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Actors Say Something Underneath Their Auditions.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Actors Say Something Underneath Their Auditions,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/a7d5b289-388a-4338-9809-6720e5ee714c/B80624FB-1F2A-47B7-98CB-E4C5097D4CB4.jpeg,"auditions, say, something, underneath, their","Actors Say Something Underneath Their Auditions, Auditions, auditions, say, something, underneath, their","Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower, Audition Tips Video",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-allison-jones-on-casting-actors-golden-advice-from-a-legend,blog_article,https://www.childactor101.com/101-blog/allison-jones-on-casting-actors-golden-advice-from-a-legend,audited_from_live_site,Allison Jones On Casting Actors Golden Advice From A Legend,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Allison Jones On Casting Actors Golden Advice From A Legend.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Allison Jones On Casting Actors Golden Advice From A Legend,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/484417a1-22d2-459b-bd3c-2adc6c260900/IMG_0728.jpeg,"auditions, allison, jones, casting, golden, advice, legend","Allison Jones On Casting Actors Golden Advice From A Legend, Auditions, auditions, allison, jones, casting, golden, advice, legend","Actors Say Something Underneath Their Auditions, Audition And Forget It Why Letting Go Is A Child Actors Superpower, Audition Tips Video",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-audition-and-forget-it-why-letting-go-is-a-child-actors-superpower,blog_article,https://www.childactor101.com/101-blog/audition-and-forget-it-why-letting-go-is-a-child-actors-superpower,audited_from_live_site,Audition And Forget It Why Letting Go Is A Child Actors Superpower,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Audition And Forget It Why Letting Go Is A Child Actors Superpower.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Audition And Forget It Why Letting Go Is A Child Actors Superpower,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/21ae2a32-6d19-4a1c-85f5-21f7a2dd09a0/CH1mkEFVRaChiFBkS6O5wg.png,"auditions, audition, forget, letting, superpower","Audition And Forget It Why Letting Go Is A Child Actors Superpower, Auditions, auditions, audition, forget, letting, superpower","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition Tips Video",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-auditiontipsvideo,blog_article,https://www.childactor101.com/101-blog/Auditiontipsvideo,audited_from_live_site,Audition Tips Video,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Audition Tips Video.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Audition Tips Video,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/1679893543683-W7NJE0EFTWCWZJF0IPVV/1E5CD751-3FCB-45FB-95F6-E04319028903.png,"auditions, audition, tips, video","Audition Tips Video, Auditions, auditions, audition, tips, video","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-avoid-these-common-audition-fails-expert-solutions-for-young-actors,blog_article,https://www.childactor101.com/101-blog/avoid-these-common-audition-fails-expert-solutions-for-young-actors,audited_from_live_site,Avoid These Common Audition Fails Expert Solutions For Young Actors,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Avoid These Common Audition Fails Expert Solutions For Young Actors.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Avoid These Common Audition Fails Expert Solutions For Young Actors,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/59ae5b5a-ff66-4e49-b432-f6d21a5e952f/Untitled+design.png,"auditions, avoid, these, common, audition, fails, expert, solutions","Avoid These Common Audition Fails Expert Solutions For Young Actors, Auditions, auditions, avoid, these, common, audition, fails, expert, solutions","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-be-a-part-of-the-future-of-child-acting-join-scenecraftrs-beta-test-and-self-tape-contest,blog_article,https://www.childactor101.com/101-blog/be-a-part-of-the-future-of-child-acting-join-scenecraftrs-beta-test-and-self-tape-contest,audited_from_live_site,Be A Part Of The Future Of Child Acting Join Scenecraftrs Beta Test And Self Tape Contest,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Be A Part Of The Future Of Child Acting Join Scenecraftrs Beta Test And Self Tape Contest.,Auditions,lesson_candidate,update_or_extract_supporting_lessons,,Keep as one lesson unless review reveals multiple distinct parent questions.,Be A Part Of The Future Of Child Acting Join Scenecraftrs Beta Test And Self Tape Contest,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/9142a91e-a8ee-4d88-8626-96e6910dfbe1/DickWhimsy_illustration_of_a_handsome_young_urban_ethnic_creati_a1af41a6-a64d-442f-b77f-d050ab78cbe0.jpg,"auditions, part, future, acting, join, scenecraftrs, beta, test","Be A Part Of The Future Of Child Acting Join Scenecraftrs Beta Test And Self Tape Contest, Auditions, auditions, part, future, acting, join, scenecraftrs, beta, test","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-child-actor-callbacks-do-you-really-need-coaching,blog_article,https://www.childactor101.com/101-blog/child-actor-callbacks-do-you-really-need-coaching,audited_from_live_site,Child Actor Callbacks Do You Really Need Coaching,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Child Actor Callbacks Do You Really Need Coaching.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Child Actor Callbacks Do You Really Need Coaching,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/1e34bba2-15da-4479-a8c5-2bf3e5c1dce3/pixar-animation-style-illustration-a-div_8ign59LuTMmT36X-CgbvFA_bUCbs4YhSxGLwsc53ez5Zg_cover_sd.jpeg,"auditions, callbacks, you, really, need, coaching","Child Actor Callbacks Do You Really Need Coaching, Auditions, auditions, callbacks, you, really, need, coaching","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-child-actor-self-tapes-what-should-my-child-do-when-there-are-a-lot-of-lines-for-other-people,blog_article,https://www.childactor101.com/101-blog/child-actor-self-tapes-what-should-my-child-do-when-there-are-a-lot-of-lines-for-other-people,audited_from_live_site,Child Actor Self Tapes What Should My Child Do When There Are A Lot Of Lines For Other People,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Child Actor Self Tapes What Should My Child Do When There Are A Lot Of Lines For Other People.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Child Actor Self Tapes What Should My Child Do When There Are A Lot Of Lines For Other People,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/287ceafb-1ba4-439b-a454-2f718e66fd84/pixar-animation-style-illustration-a-chi_n43i2fHuSM-Me8TYehrZWA_NCupmuTETeyM_AeqWBjNRw_cover_sd.jpeg,"auditions, self, tapes, should, when, there, are, lot","Child Actor Self Tapes What Should My Child Do When There Are A Lot Of Lines For Other People, Auditions, auditions, self, tapes, should, when, there, are, lot","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-child-actor-self-tapes-which-take-should-you-actually-send,blog_article,https://www.childactor101.com/101-blog/child-actor-self-tapes-which-take-should-you-actually-send,audited_from_live_site,Child Actor Self Tapes Which Take Should You Actually Send,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Child Actor Self Tapes Which Take Should You Actually Send.,Auditions,lesson_candidate,import_as_is_or_lightly_update,self-tape-selection,Keep one canonical lesson and merge overlapping material from duplicate sources.,Child Actor Self Tapes Which Take Should You Actually Send,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/d6551968-6f35-4dcb-a81f-abae3ab89669/pixar-animation-style-illustration-a-chi_UKlO4vBuRnqgSJy2m66wog_cPkSPKULR2yNCLw5AlPK1Q_cover_sd.jpeg,"auditions, self, tapes, which, take, should, you, actually","Child Actor Self Tapes Which Take Should You Actually Send, Auditions, auditions, self, tapes, which, take, should, you, actually","Keep It Or Click Delete The Great Self Tape Debate, Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend",Imported from the live Squarespace blog.
https-www-childactor101-com-101-blog-dont-just-stand-and-deliver-bring-real-life-to-your-self-tape-auditions,blog_article,https://www.childactor101.com/101-blog/dont-just-stand-and-deliver-bring-real-life-to-your-self-tape-auditions,audited_from_live_site,Dont Just Stand And Deliver Bring Real Life To Your Self Tape Auditions,Existing Child Actor 101 source content that fits the Auditions chapter and should be reviewed for classroom reuse around the topic: Dont Just Stand And Deliver Bring Real Life To Your Self Tape Auditions.,Auditions,lesson_candidate,import_as_is_or_lightly_update,,Keep as one lesson unless review reveals multiple distinct parent questions.,Dont Just Stand And Deliver Bring Real Life To Your Self Tape Auditions,https://images.squarespace-cdn.com/content/v1/616e111657e9bc2d5ed77edc/f75adc23-f574-431d-b9a2-c9c3e75b5166/IMG_1502.png,"auditions, dont, just, stand, deliver, bring, real, life","Dont Just Stand And Deliver Bring Real Life To Your Self Tape Auditions, Auditions, auditions, dont, just, stand, deliver, bring, real, life","Actors Say Something Underneath Their Auditions, Allison Jones On Casting Actors Golden Advice From A Legend, Audition And Forget It Why Letting Go Is A Child Actors Superpower",Imported from the live Squarespace blog.
